Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,25911;156,19424;156,32398;156,18181;156,33641;
Customers departed;155,85675;155,79527;155,91823;155,7835;155,93;
Customers in system;20,289408036072665;20,26874;20,31008;20,26478;20,31404;
Time in system;61,8574542228554;61,81726;61,89765;61,80956;61,90535;
Customers in system at the end;0,40236;0,39354;0,41118;0,39185;0,41287;
Customers in check in queue;3,2540611863103686;3,24013;3,26799;3,23746;3,27066;
Time in check in queue;9,58601171914474;9,54855;9,62347;9,54138;9,63064;
Customers in payment queue;0,1500270791161804;0,14981;0,15024;0,14977;0,15029;
Time in payment in queue;0,4592970393232854;0,4587;0,4599;0,45858;0,46001;
Customers in parking lot;0,8914650932986445;0,88994;0,89299;0,88965;0,89328;
Time in parking lot;2,2192335172914786;2,21554;2,22293;2,21483;2,22364;
Free clerks;1,6704142582789485;1,66915;1,67168;1,66891;1,67192;
Free mechanics group 1;2,829165961857278;2,82611;2,83222;2,82553;2,83281;
Free mechanics group 2;1,8504575442152698;1,84788;1,85303;1,84739;1,85353;
Labour costs;37500
Number of replications;100000
